"Rank","Player","Team","Position","Points","Games","Avg"
"1","Russell Wilson","SEA","QB","39.2","1","39.2"
"2","Christian McCaffrey","CAR","RB","36.1","1","36.1"
"3","Tyler Lockett","SEA","WR","33.7","1","33.7"
"4","Mike Evans","TB","WR","30.0","1","30.0"
"5","Jimmy Garoppolo","SF","QB","28.9","1","28.9"
"6","Lamar Jackson","BAL","QB","28.6","1","28.6"
"7","Kenyan Drake","ARI","RB","26.2","1","26.2"
"8","Matthew Stafford","DET","QB","25.8","1","25.8"
"9","Ryan Tannehill","TEN","QB","25.0","1","25.0"
"10","Melvin Gordon","DEN","RB","24.4","1","24.4"
"11","D.K. Metcalf","SEA","WR","24.0","1","24.0"
"11","Josh Jacobs","LV","RB","24.0","1","24.0"
"13","Ryan Fitzpatrick","MIA","QB","23.7","1","23.7"
"14","Tyreek Hill","KC","WR","23.5","1","23.5"
"15","Derrick Henry","TEN","RB","23.4","1","23.4"
"16","Kyler Murray","ARI","QB","23.0","1","23.0"
"17","Marvin Jones","DET","WR","22.6","1","22.6"
"18","Dak Prescott","DAL","QB","22.5","1","22.5"
"19","Preston Williams","MIA","WR","21.7","1","21.7"
"20","Devin Singletary","BUF","RB","21.5","1","21.5"
"21","Kirk Cousins","MIN","QB","21.3","1","21.3"
"22","Kenny Golladay","DET","WR","21.2","1","21.2"
"23","David Montgomery","CHI","RB","21.1","1","21.1"
"24","Zach Ertz","PHI","TE","20.8","1","20.8"
"25","Emmanuel Sanders","NO","WR","20.7","1","20.7"
"26","Jameis Winston","NO","QB","20.2","1","20.2"
"27","Damien Williams","KC","RB","19.8","1","19.8"
"28","Deshaun Watson","HOU","QB","19.7","1","19.7"
"29","Derek Carr","LV","QB","19.6","1","19.6"
"30","Mohamed Sanu","NE","WR","19.1","1","19.1"
"31","Houston Texans","HOU","DST","19.0","1","19.0"
"31","Noah Fant","DEN","TE","19.0","1","19.0"
"33","Jamison Crowder","NYJ","WR","18.3","1","18.3"
"34","Harrison Butker","KC","K","18.0","1","18.0"
"34","Dallas Cowboys","DAL","DST","18.0","1","18.0"
"36","Jacob Hollister","SEA","TE","17.7","1","17.7"
"37","Josh Allen","BUF","QB","17.6","1","17.6"
"38","Baker Mayfield","CLE","QB","17.1","1","17.1"
"39","Pittsburgh Steelers","PIT","DST","17.0","1","17.0"
"39","Brandon Allen","FA","QB","17.0","1","17.0"
"41","George Kittle","SF","TE","16.9","1","16.9"
"42","Duke Johnson","HOU","RB","16.6","1","16.6"
"43","Brian Hoyer","NE","QB","16.3","1","16.3"
"44","Le'Veon Bell","NYJ","RB","16.1","1","16.1"
"44","Zach Pascal","IND","WR","16.1","1","16.1"
"46","Amari Cooper","DAL","WR","16.0","1","16.0"
"46","Chris Boswell","PIT","K","16.0","1","16.0"
"46","Michael Badgley","LAC","K","16.0","1","16.0"
"49","Kyle Allen","WAS","QB","15.9","1","15.9"
"50","DeAndre Hopkins","ARI","WR","15.4","1","15.4"
"50","James White","NE","RB","15.4","1","15.4"
"52","Andy Isabella","ARI","WR","15.3","1","15.3"
"53","Ronald Jones II","TB","RB","15.2","1","15.2"
"53","Phillip Lindsay","DEN","RB","15.2","1","15.2"
"55","Carson Wentz","PHI","QB","15.1","1","15.1"
"56","Brett Maher","NYJ","K","15.0","1","15.0"
"56","Matt Moore","FA","QB","15.0","1","15.0"
"58","Curtis Samuel","CAR","WR","14.9","1","14.9"
